setup;computation;finalization
0:00.021;0:05.911;0:00.042
0:00.051;0:08.468;0:00.101
0:00.085;0:14.420;0:00.036
0:00.032;0:01.924;0:00.164
0:00.033;0:02.366;0:00.084
0:00.010;0:02.674;0:00.049
0:00.011;0:03.045;0:00.009
0:00.036;0:02.501;0:00.101
0:00.028;0:42.717;0:00.020
0:00.007;0:41.197;0:00.042
0:00.009;0:02.338;0:00.058
0:00.007;0:02.049;0:00.073
0:00.007;0:02.362;0:00.097
0:00.008;0:02.522;0:00.024
0:00.008;0:02.239;0:00.165
0:00.008;0:02.553;0:00.085
0:00.007;0:02.264;0:00.174
0:00.007;0:02.425;0:00.041
0:00.011;0:02.999;0:00.104
0:00.010;0:01.834;0:00.061
0:00.008;0:02.208;0:00.156
0:00.009;0:02.308;0:00.074
0:00.007;0:02.225;0:00.128
0:00.008;0:02.044;0:00.074
0:00.008;0:12.026;0:00.025
0:00.008;0:12.294;0:00.031
